Date,Time,Open,High,Low,Close,TickVolume,Volume,Spread,datetime,Target_Close
2025.05.09,11:00:00,3327.32,3329.02,3320.3,3328.57,7865,0,5,2025-05-09 11:00:00,3325.22
2025.05.09,12:00:00,3328.57,3329.36,3323.46,3325.22,6048,0,5,2025-05-09 12:00:00,3323.36
2025.05.09,13:00:00,3325.08,3329.82,3322.05,3323.36,5377,0,5,2025-05-09 13:00:00,3333.1
2025.05.09,14:00:00,3323.27,3338.31,3323.27,3333.1,8399,0,5,2025-05-09 14:00:00,3333.59
2025.05.09,15:00:00,3333.1,3335.65,3329.09,3333.59,8862,0,5,2025-05-09 15:00:00,3330.76
2025.05.09,16:00:00,3333.58,3340.44,3328.76,3330.76,12068,0,5,2025-05-09 16:00:00,3337.14
2025.05.09,17:00:00,3330.76,3341.08,3320.36,3337.14,12434,0,5,2025-05-09 17:00:00,3345.06
2025.05.09,18:00:00,3337.19,3346.14,3336.2,3345.06,9576,0,5,2025-05-09 18:00:00,3336.85
2025.05.09,19:00:00,3345.06,3347.52,3336.36,3336.85,8304,0,7,2025-05-09 19:00:00,3340.95
2025.05.09,20:00:00,3336.86,3342.63,3336.11,3340.95,6509,0,7,2025-05-09 20:00:00,3338.66
2025.05.09,21:00:00,3340.99,3342.96,3336.28,3338.66,5110,0,7,2025-05-09 21:00:00,3328.98
2025.05.09,22:00:00,3338.67,3339.85,3325.66,3328.98,6114,0,7,2025-05-09 22:00:00,3327.15
2025.05.09,23:00:00,3328.98,3330.38,3325.28,3327.15,2766,0,7,2025-05-09 23:00:00,3272.65
2025.05.12,01:00:00,3287.31,3303.19,3266.99,3272.65,7229,0,7,2025-05-12 01:00:00,3287.62
2025.05.12,02:00:00,3272.6,3288.96,3265.96,3287.62,7525,0,7,2025-05-12 02:00:00,3279.13
2025.05.12,03:00:00,3287.65,3290.01,3272.17,3279.13,7793,0,7,2025-05-12 03:00:00,3271.92
2025.05.12,04:00:00,3279.21,3282.15,3258.86,3271.92,12347,0,7,2025-05-12 04:00:00,3272.12
2025.05.12,05:00:00,3271.9,3279.77,3269.58,3272.12,8799,0,7,2025-05-12 05:00:00,3283.38
2025.05.12,06:00:00,3272.12,3284.7,3270.53,3283.38,6706,0,7,2025-05-12 06:00:00,3278.8
2025.05.12,07:00:00,3283.5,3283.68,3275.62,3278.8,4697,0,7,2025-05-12 07:00:00,3276.08
2025.05.12,08:00:00,3278.9,3279.6,3268.57,3276.08,6844,0,7,2025-05-12 08:00:00,3277.68
2025.05.12,09:00:00,3276.08,3281.64,3273.08,3277.68,9825,0,5,2025-05-12 09:00:00,3222.77
2025.05.12,10:00:00,3277.68,3277.91,3216.19,3222.77,16413,0,5,2025-05-12 10:00:00,3231.43
2025.05.12,11:00:00,3222.79,3234.45,3220.9,3231.43,12303,0,5,2025-05-12 11:00:00,3214.83
2025.05.12,12:00:00,3231.52,3231.52,3213.06,3214.83,8813,0,5,2025-05-12 12:00:00,3208.16
2025.05.12,13:00:00,3215.16,3219.48,3207.85,3208.16,9519,0,5,2025-05-12 13:00:00,3224.87
2025.05.12,14:00:00,3208.17,3229.18,3208.03,3224.87,10159,0,5,2025-05-12 14:00:00,3233.77
2025.05.12,15:00:00,3224.86,3234.34,3220.37,3233.77,11038,0,5,2025-05-12 15:00:00,3240.82
2025.05.12,16:00:00,3233.58,3248.72,3231.82,3240.82,15318,0,5,2025-05-12 16:00:00,3237.62
2025.05.12,17:00:00,3240.59,3247.82,3233.53,3237.62,14276,0,5,2025-05-12 17:00:00,3239.27
2025.05.12,18:00:00,3237.66,3243.96,3232.75,3239.27,10019,0,5,2025-05-12 18:00:00,3224.23
2025.05.12,19:00:00,3239.23,3240.08,3223.21,3224.23,9053,0,7,2025-05-12 19:00:00,3223.25
2025.05.12,20:00:00,3224.24,3227.56,3221.21,3223.25,7820,0,7,2025-05-12 20:00:00,3229.69
2025.05.12,21:00:00,3223.26,3230.05,3220.43,3229.69,6070,0,7,2025-05-12 21:00:00,3235.41
2025.05.12,22:00:00,3229.7,3238.8,3228.95,3235.41,6854,0,7,2025-05-12 22:00:00,3234.78
2025.05.12,23:00:00,3235.36,3238.43,3232.57,3234.78,2559,0,7,2025-05-12 23:00:00,3233.83
2025.05.13,01:00:00,3236.61,3241.83,3229.85,3233.83,3459,0,7,2025-05-13 01:00:00,3236.88
2025.05.13,02:00:00,3233.82,3240.14,3233.41,3236.88,3253,0,7,2025-05-13 02:00:00,3239.93
2025.05.13,03:00:00,3236.9,3243.31,3233.88,3239.93,6413,0,7,2025-05-13 03:00:00,3225.16
2025.05.13,04:00:00,3239.9,3243.34,3215.9,3225.16,10378,0,7,2025-05-13 04:00:00,3228.93
2025.05.13,05:00:00,3225.16,3241.24,3223.22,3228.93,8051,0,7,2025-05-13 05:00:00,3236.75
2025.05.13,06:00:00,3228.94,3238.38,3228.23,3236.75,6048,0,7,2025-05-13 06:00:00,3252.65
2025.05.13,07:00:00,3236.75,3253.51,3234.96,3252.65,5195,0,7,2025-05-13 07:00:00,3256.52
2025.05.13,08:00:00,3252.62,3260.67,3251.27,3256.52,7148,0,7,2025-05-13 08:00:00,3262.02
2025.05.13,09:00:00,3256.52,3265.52,3247.39,3262.02,8892,0,5,2025-05-13 09:00:00,3259.04
2025.05.13,10:00:00,3262.28,3264.98,3254.32,3259.04,8264,0,5,2025-05-13 10:00:00,3255.6
2025.05.13,11:00:00,3259.14,3261.08,3250.41,3255.6,7326,0,5,2025-05-13 11:00:00,3253.39
2025.05.13,12:00:00,3255.57,3256.62,3250.59,3253.39,6560,0,5,2025-05-13 12:00:00,3252.95
2025.05.13,13:00:00,3253.39,3256.26,3251.2,3252.95,5664,0,5,2025-05-13 13:00:00,3249.21
2025.05.13,14:00:00,3252.95,3258.65,3248.79,3249.21,7079,0,5,2025-05-13 14:00:00,3241.83
2025.05.13,15:00:00,3249.21,3249.9,3237.4,3241.83,12033,0,5,2025-05-13 15:00:00,3227.62
2025.05.13,16:00:00,3241.83,3246.91,3227.34,3227.62,12974,0,5,2025-05-13 16:00:00,3242.74
2025.05.13,17:00:00,3227.57,3248.74,3225.5,3242.74,12287,0,5,2025-05-13 17:00:00,3253.42
